trial,item,correct
01-ai_yi-large-preview,id5,0
01-ai_yi-large-preview,id6,0
01-ai_yi-large-preview,id7,0
01-ai_yi-large-preview,id8,1
01-ai_yi-large-preview,id9,1
01-ai_yi-large-preview,id10,1
01-ai_yi-large-preview,id11,0
01-ai_yi-large-preview,id12,1
01-ai_yi-large-preview,id13,0
01-ai_yi-large-preview,id14,1
01-ai_yi-large-preview,id15,1
01-ai_yi-large-preview,id16,1
01-ai_yi-large-preview,id17,1
01-ai_yi-large-preview,id18,1
01-ai_yi-large-preview,id19,1
01-ai_yi-large-preview,id20,0
01-ai_yi-large-preview,id21,0
01-ai_yi-large-preview,id22,0
01-ai_yi-large-preview,id23,0
01-ai_yi-large-preview,id24,1
01-ai_yi-large-preview,id25,0
01-ai_yi-large-preview,id26,1
01-ai_yi-large-preview,id27,1
01-ai_yi-large-preview,id28,0
01-ai_yi-large-preview,id29,1
01-ai_yi-large-preview,id30,0
01-ai_yi-large-preview,id31,1
01-ai_yi-large-preview,id32,1
01-ai_yi-large-preview,id33,1
01-ai_yi-large-preview,id34,1
01-ai_yi-large-preview,id35,1
01-ai_yi-large-preview,id36,0
01-ai_yi-large-preview,id37,0
01-ai_yi-large-preview,id38,1
01-ai_yi-large-preview,id39,1
01-ai_yi-large-preview,id40,0
01-ai_yi-large-preview,id41,0
01-ai_yi-large-preview,id42,1
01-ai_yi-large-preview,id43,0
01-ai_yi-large-preview,id44,1
01-ai_yi-large-preview,id45,1
01-ai_yi-large-preview,id46,0
01-ai_yi-large-preview,id47,1
01-ai_yi-large-preview,id48,1
01-ai_yi-large-preview,id49,1
01-ai_yi-large-preview,id50,0
01-ai_yi-large-preview,id51,1
01-ai_yi-large-preview,id52,0
01-ai_yi-large-preview,id53,0
01-ai_yi-large-preview,id54,0
01-ai_yi-large-preview,id55,1
01-ai_yi-large-preview,id56,1
01-ai_yi-large-preview,id57,0
01-ai_yi-large-preview,id58,0
01-ai_yi-large-preview,id59,1
01-ai_yi-large-preview,id60,1
01-ai_yi-large-preview,id61,1
01-ai_yi-large-preview,id62,1
01-ai_yi-large-preview,id63,0
01-ai_yi-large-preview,id64,1
01-ai_yi-large-preview,id65,0
01-ai_yi-large-preview,id66,1
01-ai_yi-large-preview,id67,0
01-ai_yi-large-preview,id68,0
01-ai_yi-large-preview,id69,0
01-ai_yi-large-preview,id70,1
01-ai_yi-large-preview,id71,1
01-ai_yi-large-preview,id72,0
01-ai_yi-large-preview,id73,1
01-ai_yi-large-preview,id74,0
01-ai_yi-large-preview,id75,1
01-ai_yi-large-preview,id76,0
01-ai_yi-large-preview,id77,1
01-ai_yi-large-preview,id78,0
01-ai_yi-large-preview,id79,0
01-ai_yi-large-preview,id80,1
01-ai_yi-large-preview,id81,1
01-ai_yi-large-preview,id82,1
01-ai_yi-large-preview,id83,1
01-ai_yi-large-preview,id84,1
01-ai_yi-large-preview,id85,1
01-ai_yi-large-preview,id86,0
01-ai_yi-large-preview,id87,1
01-ai_yi-large-preview,id88,0
01-ai_yi-large-preview,id89,1
01-ai_yi-large-preview,id90,0
01-ai_yi-large-preview,id91,1
01-ai_yi-large-preview,id92,1
01-ai_yi-large-preview,id93,1
01-ai_yi-large-preview,id94,1
01-ai_yi-large-preview,id95,1
01-ai_yi-large-preview,id96,1
01-ai_yi-large-preview,id97,0
01-ai_yi-large-preview,id98,1
01-ai_yi-large-preview,id99,1
01-ai_yi-large-preview,id100,1
01-ai_yi-large-preview,id101,0
01-ai_yi-large-preview,id102,1
01-ai_yi-large-preview,id103,0
01-ai_yi-large-preview,id104,0
01-ai_yi-large-preview,id105,1
01-ai_yi-large-preview,id106,1
01-ai_yi-large-preview,id107,1
01-ai_yi-large-preview,id108,1
01-ai_yi-large-preview,id109,0
01-ai_yi-large-preview,id110,1
01-ai_yi-large-preview,id111,0
01-ai_yi-large-preview,id112,1
01-ai_yi-large-preview,id113,0
01-ai_yi-large-preview,id114,0
01-ai_yi-large-preview,id115,1
amazon_nova-pro-v1:0,id5,1
amazon_nova-pro-v1:0,id6,0
amazon_nova-pro-v1:0,id7,0
amazon_nova-pro-v1:0,id8,1
amazon_nova-pro-v1:0,id9,1
amazon_nova-pro-v1:0,id10,1
amazon_nova-pro-v1:0,id11,0
amazon_nova-pro-v1:0,id12,0
amazon_nova-pro-v1:0,id13,1
amazon_nova-pro-v1:0,id14,1
amazon_nova-pro-v1:0,id15,1
amazon_nova-pro-v1:0,id16,1
amazon_nova-pro-v1:0,id17,1
amazon_nova-pro-v1:0,id18,0
amazon_nova-pro-v1:0,id19,1
amazon_nova-pro-v1:0,id20,1
amazon_nova-pro-v1:0,id21,0
amazon_nova-pro-v1:0,id22,0
amazon_nova-pro-v1:0,id23,0
amazon_nova-pro-v1:0,id24,1
amazon_nova-pro-v1:0,id25,0
amazon_nova-pro-v1:0,id26,0
amazon_nova-pro-v1:0,id27,1
amazon_nova-pro-v1:0,id28,0
amazon_nova-pro-v1:0,id29,0
amazon_nova-pro-v1:0,id30,1
amazon_nova-pro-v1:0,id31,1
amazon_nova-pro-v1:0,id32,1
amazon_nova-pro-v1:0,id33,0
amazon_nova-pro-v1:0,id34,1
amazon_nova-pro-v1:0,id35,1
amazon_nova-pro-v1:0,id36,0
amazon_nova-pro-v1:0,id37,1
amazon_nova-pro-v1:0,id38,1
amazon_nova-pro-v1:0,id39,1
amazon_nova-pro-v1:0,id40,0
amazon_nova-pro-v1:0,id41,1
amazon_nova-pro-v1:0,id42,1
amazon_nova-pro-v1:0,id43,1
amazon_nova-pro-v1:0,id44,1
amazon_nova-pro-v1:0,id45,1
amazon_nova-pro-v1:0,id46,1
amazon_nova-pro-v1:0,id47,1
amazon_nova-pro-v1:0,id48,1
amazon_nova-pro-v1:0,id49,1
amazon_nova-pro-v1:0,id50,0
amazon_nova-pro-v1:0,id51,1
amazon_nova-pro-v1:0,id52,0
amazon_nova-pro-v1:0,id53,1
amazon_nova-pro-v1:0,id54,1
amazon_nova-pro-v1:0,id55,1
amazon_nova-pro-v1:0,id56,1
amazon_nova-pro-v1:0,id57,0
amazon_nova-pro-v1:0,id58,0
amazon_nova-pro-v1:0,id59,1
amazon_nova-pro-v1:0,id60,1
amazon_nova-pro-v1:0,id61,1
amazon_nova-pro-v1:0,id62,0
amazon_nova-pro-v1:0,id63,1
amazon_nova-pro-v1:0,id64,1
amazon_nova-pro-v1:0,id65,0
amazon_nova-pro-v1:0,id66,1
amazon_nova-pro-v1:0,id67,1
amazon_nova-pro-v1:0,id68,1
amazon_nova-pro-v1:0,id69,0
amazon_nova-pro-v1:0,id70,1
amazon_nova-pro-v1:0,id71,1
amazon_nova-pro-v1:0,id72,0
amazon_nova-pro-v1:0,id73,1
amazon_nova-pro-v1:0,id74,0
amazon_nova-pro-v1:0,id75,1
amazon_nova-pro-v1:0,id76,1
amazon_nova-pro-v1:0,id77,1
amazon_nova-pro-v1:0,id78,0
amazon_nova-pro-v1:0,id79,0
amazon_nova-pro-v1:0,id80,1
amazon_nova-pro-v1:0,id81,1
amazon_nova-pro-v1:0,id82,1
amazon_nova-pro-v1:0,id83,1
amazon_nova-pro-v1:0,id84,1
amazon_nova-pro-v1:0,id85,0
amazon_nova-pro-v1:0,id86,0
amazon_nova-pro-v1:0,id87,1
amazon_nova-pro-v1:0,id88,0
amazon_nova-pro-v1:0,id89,1
amazon_nova-pro-v1:0,id90,1
amazon_nova-pro-v1:0,id91,1
amazon_nova-pro-v1:0,id92,1
amazon_nova-pro-v1:0,id93,1
amazon_nova-pro-v1:0,id94,1
amazon_nova-pro-v1:0,id95,0
amazon_nova-pro-v1:0,id96,1
amazon_nova-pro-v1:0,id97,1
amazon_nova-pro-v1:0,id98,1
amazon_nova-pro-v1:0,id99,1
amazon_nova-pro-v1:0,id100,1
amazon_nova-pro-v1:0,id101,1
amazon_nova-pro-v1:0,id102,1
amazon_nova-pro-v1:0,id103,1
