trial,item,correct
ai21_jamba-1.5-large,id5,1
ai21_jamba-1.5-large,id6,0
ai21_jamba-1.5-large,id7,1
ai21_jamba-1.5-large,id8,0
ai21_jamba-1.5-large,id9,0
ai21_jamba-1.5-large,id10,1
ai21_jamba-1.5-large,id11,0
ai21_jamba-1.5-large,id12,1
ai21_jamba-1.5-large,id13,1
ai21_jamba-1.5-large,id14,1
ai21_jamba-1.5-large,id15,0
ai21_jamba-1.5-large,id16,0
ai21_jamba-1.5-large,id17,1
ai21_jamba-1.5-large,id18,1
ai21_jamba-1.5-large,id19,1
ai21_jamba-1.5-large,id20,1
ai21_jamba-1.5-large,id21,0
ai21_jamba-1.5-large,id22,0
ai21_jamba-1.5-large,id23,0
ai21_jamba-1.5-large,id24,0
ai21_jamba-1.5-large,id25,0
ai21_jamba-1.5-large,id26,0
ai21_jamba-1.5-large,id27,0
ai21_jamba-1.5-large,id28,1
ai21_jamba-1.5-large,id29,1
ai21_jamba-1.5-large,id30,0
ai21_jamba-1.5-large,id31,0
ai21_jamba-1.5-large,id32,0
ai21_jamba-1.5-large,id33,1
ai21_jamba-1.5-large,id34,0
ai21_jamba-1.5-large,id35,0
ai21_jamba-1.5-large,id36,0
ai21_jamba-1.5-large,id37,1
ai21_jamba-1.5-large,id38,0
ai21_jamba-1.5-large,id39,0
ai21_jamba-1.5-large,id40,0
ai21_jamba-1.5-large,id41,1
ai21_jamba-1.5-large,id42,1
ai21_jamba-1.5-large,id43,1
ai21_jamba-1.5-large,id44,0
ai21_jamba-1.5-large,id45,1
ai21_jamba-1.5-large,id46,1
ai21_jamba-1.5-large,id47,1
ai21_jamba-1.5-large,id48,1
ai21_jamba-1.5-large,id49,1
ai21_jamba-1.5-large,id50,0
ai21_jamba-1.5-large,id51,0
ai21_jamba-1.5-large,id52,0
ai21_jamba-1.5-large,id53,1
ai21_jamba-1.5-large,id54,0
ai21_jamba-1.5-large,id55,1
ai21_jamba-1.5-large,id56,1
ai21_jamba-1.5-large,id57,0
ai21_jamba-1.5-large,id58,0
ai21_jamba-1.5-large,id59,1
ai21_jamba-1.5-large,id60,1
ai21_jamba-1.5-large,id61,1
ai21_jamba-1.5-large,id62,1
ai21_jamba-1.5-large,id63,1
ai21_jamba-1.5-large,id64,0
ai21_jamba-1.5-large,id65,0
ai21_jamba-1.5-large,id66,1
ai21_jamba-1.5-large,id67,0
ai21_jamba-1.5-large,id68,1
ai21_jamba-1.5-large,id69,1
ai21_jamba-1.5-large,id70,1
ai21_jamba-1.5-large,id71,1
ai21_jamba-1.5-large,id72,1
ai21_jamba-1.5-large,id73,0
ai21_jamba-1.5-large,id74,0
ai21_jamba-1.5-large,id75,0
ai21_jamba-1.5-large,id76,1
ai21_jamba-1.5-large,id77,1
ai21_jamba-1.5-large,id78,1
ai21_jamba-1.5-large,id79,1
ai21_jamba-1.5-large,id80,1
ai21_jamba-1.5-large,id81,1
ai21_jamba-1.5-large,id82,0
ai21_jamba-1.5-large,id83,1
ai21_jamba-1.5-large,id84,1
ai21_jamba-1.5-large,id85,0
ai21_jamba-1.5-large,id86,1
ai21_jamba-1.5-large,id87,1
ai21_jamba-1.5-large,id88,0
ai21_jamba-1.5-large,id89,1
ai21_jamba-1.5-large,id90,1
ai21_jamba-1.5-large,id91,1
ai21_jamba-1.5-large,id92,1
ai21_jamba-1.5-large,id93,0
ai21_jamba-1.5-large,id94,1
ai21_jamba-1.5-large,id95,0
ai21_jamba-1.5-large,id96,0
ai21_jamba-1.5-large,id97,1
ai21_jamba-1.5-large,id98,0
ai21_jamba-1.5-large,id99,0
ai21_jamba-1.5-large,id100,1
ai21_jamba-1.5-large,id101,0
ai21_jamba-1.5-large,id102,0
ai21_jamba-1.5-large,id103,1
ai21_jamba-1.5-large,id104,1
ai21_jamba-1.5-large,id105,0
ai21_jamba-1.5-large,id106,1
ai21_jamba-1.5-large,id107,0
ai21_jamba-1.5-large,id108,1
ai21_jamba-1.5-large,id109,1
ai21_jamba-1.5-large,id110,0
ai21_jamba-1.5-large,id111,0
ai21_jamba-1.5-large,id112,1
amazon_nova-lite-v1:0,id5,1
amazon_nova-lite-v1:0,id6,0
amazon_nova-lite-v1:0,id7,1
amazon_nova-lite-v1:0,id8,0
amazon_nova-lite-v1:0,id9,0
amazon_nova-lite-v1:0,id10,1
amazon_nova-lite-v1:0,id11,0
amazon_nova-lite-v1:0,id12,1
amazon_nova-lite-v1:0,id13,1
amazon_nova-lite-v1:0,id14,1
amazon_nova-lite-v1:0,id15,0
amazon_nova-lite-v1:0,id16,0
amazon_nova-lite-v1:0,id17,1
amazon_nova-lite-v1:0,id18,1
amazon_nova-lite-v1:0,id19,1
amazon_nova-lite-v1:0,id20,1
amazon_nova-lite-v1:0,id21,0
amazon_nova-lite-v1:0,id22,1
amazon_nova-lite-v1:0,id23,0
amazon_nova-lite-v1:0,id24,0
