trial,item,correct
01-ai_yi-34b,id5,0
01-ai_yi-34b,id6,0
01-ai_yi-34b,id7,1
01-ai_yi-34b,id8,0
01-ai_yi-34b,id9,0
01-ai_yi-34b,id10,1
01-ai_yi-34b,id11,0
01-ai_yi-34b,id12,1
01-ai_yi-34b,id13,1
01-ai_yi-34b,id14,1
01-ai_yi-34b,id15,0
01-ai_yi-34b,id16,0
01-ai_yi-34b,id17,0
01-ai_yi-34b,id18,1
01-ai_yi-34b,id19,1
01-ai_yi-34b,id20,1
01-ai_yi-34b,id21,0
01-ai_yi-34b,id22,0
01-ai_yi-34b,id23,1
01-ai_yi-34b,id24,0
01-ai_yi-34b,id25,0
01-ai_yi-34b,id26,0
01-ai_yi-34b,id27,0
01-ai_yi-34b,id28,0
01-ai_yi-34b,id29,1
01-ai_yi-34b,id30,0
01-ai_yi-34b,id31,0
01-ai_yi-34b,id32,0
01-ai_yi-34b,id33,1
01-ai_yi-34b,id34,0
01-ai_yi-34b,id35,0
01-ai_yi-34b,id36,0
01-ai_yi-34b,id37,1
01-ai_yi-34b,id38,0
01-ai_yi-34b,id39,0
01-ai_yi-34b,id40,0
01-ai_yi-34b,id41,1
01-ai_yi-34b,id42,1
01-ai_yi-34b,id43,1
01-ai_yi-34b,id44,1
01-ai_yi-34b,id45,1
01-ai_yi-34b,id46,0
01-ai_yi-34b,id47,1
01-ai_yi-34b,id48,1
01-ai_yi-34b,id49,1
01-ai_yi-34b,id50,1
01-ai_yi-34b,id51,0
01-ai_yi-34b,id52,0
01-ai_yi-34b,id53,1
01-ai_yi-34b,id54,0
01-ai_yi-34b,id55,1
01-ai_yi-34b,id56,0
01-ai_yi-34b,id57,0
01-ai_yi-34b,id58,0
01-ai_yi-34b,id59,1
01-ai_yi-34b,id60,0
01-ai_yi-34b,id61,1
01-ai_yi-34b,id62,0
01-ai_yi-34b,id63,1
01-ai_yi-34b,id64,0
01-ai_yi-34b,id65,0
01-ai_yi-34b,id66,1
01-ai_yi-34b,id67,0
01-ai_yi-34b,id68,1
01-ai_yi-34b,id69,1
01-ai_yi-34b,id70,1
01-ai_yi-34b,id71,0
01-ai_yi-34b,id72,1
01-ai_yi-34b,id73,0
01-ai_yi-34b,id74,0
01-ai_yi-34b,id75,0
01-ai_yi-34b,id76,1
01-ai_yi-34b,id77,1
01-ai_yi-34b,id78,1
01-ai_yi-34b,id79,1
01-ai_yi-34b,id80,1
01-ai_yi-34b,id81,1
01-ai_yi-34b,id82,0
01-ai_yi-34b,id83,1
01-ai_yi-34b,id84,1
01-ai_yi-34b,id85,0
01-ai_yi-34b,id86,1
01-ai_yi-34b,id87,1
01-ai_yi-34b,id88,0
01-ai_yi-34b,id89,1
01-ai_yi-34b,id90,1
01-ai_yi-34b,id91,1
01-ai_yi-34b,id92,1
01-ai_yi-34b,id93,0
01-ai_yi-34b,id94,1
01-ai_yi-34b,id95,0
01-ai_yi-34b,id96,0
01-ai_yi-34b,id97,1
01-ai_yi-34b,id98,0
01-ai_yi-34b,id99,0
01-ai_yi-34b,id100,1
01-ai_yi-34b,id101,1
01-ai_yi-34b,id102,0
01-ai_yi-34b,id103,1
01-ai_yi-34b,id104,1
01-ai_yi-34b,id105,0
01-ai_yi-34b,id106,1
01-ai_yi-34b,id107,0
01-ai_yi-34b,id108,1
01-ai_yi-34b,id109,1
01-ai_yi-34b,id110,0
01-ai_yi-34b,id111,0
01-ai_yi-34b,id112,1
01-ai_yi-6b,id5,0
01-ai_yi-6b,id6,0
01-ai_yi-6b,id7,1
01-ai_yi-6b,id8,0
01-ai_yi-6b,id9,0
01-ai_yi-6b,id10,0
01-ai_yi-6b,id11,0
01-ai_yi-6b,id12,1
01-ai_yi-6b,id13,0
01-ai_yi-6b,id14,1
01-ai_yi-6b,id15,0
01-ai_yi-6b,id16,1
01-ai_yi-6b,id17,0
01-ai_yi-6b,id18,0
01-ai_yi-6b,id19,1
01-ai_yi-6b,id20,1
01-ai_yi-6b,id21,0
01-ai_yi-6b,id22,0
01-ai_yi-6b,id23,0
01-ai_yi-6b,id24,0
01-ai_yi-6b,id25,0
01-ai_yi-6b,id26,0
01-ai_yi-6b,id27,0
01-ai_yi-6b,id28,0
01-ai_yi-6b,id29,1
01-ai_yi-6b,id30,0
01-ai_yi-6b,id31,0
01-ai_yi-6b,id32,0
01-ai_yi-6b,id33,1
01-ai_yi-6b,id34,0
01-ai_yi-6b,id35,0
01-ai_yi-6b,id36,0
01-ai_yi-6b,id37,1
01-ai_yi-6b,id38,0
01-ai_yi-6b,id39,0
01-ai_yi-6b,id40,0
01-ai_yi-6b,id41,1
01-ai_yi-6b,id42,1
01-ai_yi-6b,id43,1
01-ai_yi-6b,id44,0
01-ai_yi-6b,id45,0
01-ai_yi-6b,id46,1
01-ai_yi-6b,id47,0
01-ai_yi-6b,id48,0
01-ai_yi-6b,id49,0
01-ai_yi-6b,id50,1
01-ai_yi-6b,id51,0
01-ai_yi-6b,id52,1
01-ai_yi-6b,id53,1
01-ai_yi-6b,id54,0
01-ai_yi-6b,id55,0
01-ai_yi-6b,id56,0
01-ai_yi-6b,id57,0
01-ai_yi-6b,id58,0
01-ai_yi-6b,id59,1
01-ai_yi-6b,id60,1
01-ai_yi-6b,id61,1
01-ai_yi-6b,id62,1
01-ai_yi-6b,id63,0
01-ai_yi-6b,id64,0
01-ai_yi-6b,id65,0
01-ai_yi-6b,id66,1
01-ai_yi-6b,id67,0
01-ai_yi-6b,id68,1
01-ai_yi-6b,id69,1
01-ai_yi-6b,id70,0
01-ai_yi-6b,id71,0
01-ai_yi-6b,id72,1
01-ai_yi-6b,id73,0
01-ai_yi-6b,id74,0
01-ai_yi-6b,id75,0
01-ai_yi-6b,id76,1
01-ai_yi-6b,id77,1
01-ai_yi-6b,id78,1
01-ai_yi-6b,id79,0
01-ai_yi-6b,id80,1
01-ai_yi-6b,id81,1
01-ai_yi-6b,id82,0
01-ai_yi-6b,id83,0
01-ai_yi-6b,id84,0
01-ai_yi-6b,id85,0
01-ai_yi-6b,id86,1
01-ai_yi-6b,id87,1
01-ai_yi-6b,id88,0
01-ai_yi-6b,id89,1
01-ai_yi-6b,id90,1
01-ai_yi-6b,id91,1
01-ai_yi-6b,id92,1
01-ai_yi-6b,id93,0
01-ai_yi-6b,id94,0
01-ai_yi-6b,id95,0
01-ai_yi-6b,id96,0
01-ai_yi-6b,id97,0
01-ai_yi-6b,id98,0
01-ai_yi-6b,id99,0
01-ai_yi-6b,id100,1
01-ai_yi-6b,id101,0
01-ai_yi-6b,id102,1
01-ai_yi-6b,id103,0
01-ai_yi-6b,id104,1
01-ai_yi-6b,id105,0
01-ai_yi-6b,id106,1
01-ai_yi-6b,id107,0
01-ai_yi-6b,id108,1
01-ai_yi-6b,id109,1
01-ai_yi-6b,id110,0
01-ai_yi-6b,id111,0
01-ai_yi-6b,id112,1
01-ai_yi-large-preview,id5,1
01-ai_yi-large-preview,id6,0
01-ai_yi-large-preview,id7,1
01-ai_yi-large-preview,id8,0
01-ai_yi-large-preview,id9,0
01-ai_yi-large-preview,id10,1
01-ai_yi-large-preview,id11,1
01-ai_yi-large-preview,id12,1
01-ai_yi-large-preview,id13,1
01-ai_yi-large-preview,id14,1
01-ai_yi-large-preview,id15,0
01-ai_yi-large-preview,id16,0
01-ai_yi-large-preview,id17,1
01-ai_yi-large-preview,id18,1
01-ai_yi-large-preview,id19,1
01-ai_yi-large-preview,id20,1
01-ai_yi-large-preview,id21,0
01-ai_yi-large-preview,id22,0
01-ai_yi-large-preview,id23,0
01-ai_yi-large-preview,id24,0
01-ai_yi-large-preview,id25,0
01-ai_yi-large-preview,id26,0
01-ai_yi-large-preview,id27,0
01-ai_yi-large-preview,id28,1
01-ai_yi-large-preview,id29,1
01-ai_yi-large-preview,id30,0
01-ai_yi-large-preview,id31,0
01-ai_yi-large-preview,id32,0
01-ai_yi-large-preview,id33,1
01-ai_yi-large-preview,id34,0
01-ai_yi-large-preview,id35,1
01-ai_yi-large-preview,id36,0
01-ai_yi-large-preview,id37,1
01-ai_yi-large-preview,id38,0
01-ai_yi-large-preview,id39,0
01-ai_yi-large-preview,id40,0
01-ai_yi-large-preview,id41,1
01-ai_yi-large-preview,id42,0
01-ai_yi-large-preview,id43,1
01-ai_yi-large-preview,id44,1
01-ai_yi-large-preview,id45,1
01-ai_yi-large-preview,id46,1
01-ai_yi-large-preview,id47,0
01-ai_yi-large-preview,id48,0
01-ai_yi-large-preview,id49,0
01-ai_yi-large-preview,id50,1
01-ai_yi-large-preview,id51,0
01-ai_yi-large-preview,id52,0
01-ai_yi-large-preview,id53,1
01-ai_yi-large-preview,id54,1
01-ai_yi-large-preview,id55,1
01-ai_yi-large-preview,id56,0
01-ai_yi-large-preview,id57,0
01-ai_yi-large-preview,id58,0
01-ai_yi-large-preview,id59,1
01-ai_yi-large-preview,id60,1
01-ai_yi-large-preview,id61,1
01-ai_yi-large-preview,id62,0
01-ai_yi-large-preview,id63,0
01-ai_yi-large-preview,id64,1
01-ai_yi-large-preview,id65,0
01-ai_yi-large-preview,id66,1
01-ai_yi-large-preview,id67,0
01-ai_yi-large-preview,id68,1
01-ai_yi-large-preview,id69,1
01-ai_yi-large-preview,id70,0
01-ai_yi-large-preview,id71,0
01-ai_yi-large-preview,id72,1
01-ai_yi-large-preview,id73,1
01-ai_yi-large-preview,id74,0
01-ai_yi-large-preview,id75,0
01-ai_yi-large-preview,id76,1
01-ai_yi-large-preview,id77,1
01-ai_yi-large-preview,id78,1
01-ai_yi-large-preview,id79,1
01-ai_yi-large-preview,id80,1
01-ai_yi-large-preview,id81,1
01-ai_yi-large-preview,id82,0
01-ai_yi-large-preview,id83,1
01-ai_yi-large-preview,id84,1
01-ai_yi-large-preview,id85,0
01-ai_yi-large-preview,id86,1
01-ai_yi-large-preview,id87,1
01-ai_yi-large-preview,id88,0
01-ai_yi-large-preview,id89,1
01-ai_yi-large-preview,id90,1
01-ai_yi-large-preview,id91,1
01-ai_yi-large-preview,id92,1
01-ai_yi-large-preview,id93,0
01-ai_yi-large-preview,id94,0
01-ai_yi-large-preview,id95,0
01-ai_yi-large-preview,id96,0
01-ai_yi-large-preview,id97,1
01-ai_yi-large-preview,id98,0
01-ai_yi-large-preview,id99,0
01-ai_yi-large-preview,id100,1
01-ai_yi-large-preview,id101,1
01-ai_yi-large-preview,id102,1
01-ai_yi-large-preview,id103,0
01-ai_yi-large-preview,id104,1
01-ai_yi-large-preview,id105,0
01-ai_yi-large-preview,id106,1
01-ai_yi-large-preview,id107,0
01-ai_yi-large-preview,id108,1
01-ai_yi-large-preview,id109,1
01-ai_yi-large-preview,id110,0
01-ai_yi-large-preview,id111,0
01-ai_yi-large-preview,id112,1
AlephAlpha_luminous-base,id5,0
AlephAlpha_luminous-base,id6,0
AlephAlpha_luminous-base,id7,0
AlephAlpha_luminous-base,id8,0
AlephAlpha_luminous-base,id9,0
AlephAlpha_luminous-base,id10,0
AlephAlpha_luminous-base,id11,0
AlephAlpha_luminous-base,id12,0
AlephAlpha_luminous-base,id13,0
AlephAlpha_luminous-base,id14,0
AlephAlpha_luminous-base,id15,0
AlephAlpha_luminous-base,id16,0
AlephAlpha_luminous-base,id17,0
AlephAlpha_luminous-base,id18,0
AlephAlpha_luminous-base,id19,1
AlephAlpha_luminous-base,id20,0
AlephAlpha_luminous-base,id21,0
AlephAlpha_luminous-base,id22,0
