trial,item,correct
01-ai_yi-34b,id5,1
01-ai_yi-34b,id6,0
01-ai_yi-34b,id7,1
01-ai_yi-34b,id8,0
01-ai_yi-34b,id9,1
01-ai_yi-34b,id10,1
01-ai_yi-34b,id11,1
01-ai_yi-34b,id12,1
01-ai_yi-34b,id13,1
01-ai_yi-34b,id14,1
01-ai_yi-34b,id15,1
01-ai_yi-34b,id16,1
01-ai_yi-34b,id17,0
01-ai_yi-34b,id18,1
01-ai_yi-34b,id19,1
01-ai_yi-34b,id20,0
01-ai_yi-34b,id21,0
01-ai_yi-34b,id22,1
01-ai_yi-34b,id23,1
01-ai_yi-34b,id24,1
01-ai_yi-34b,id25,1
01-ai_yi-34b,id26,0
01-ai_yi-34b,id27,0
01-ai_yi-34b,id28,1
01-ai_yi-34b,id29,1
01-ai_yi-34b,id30,1
01-ai_yi-34b,id31,1
01-ai_yi-34b,id32,1
01-ai_yi-34b,id33,1
01-ai_yi-34b,id34,1
01-ai_yi-34b,id35,1
01-ai_yi-34b,id36,1
01-ai_yi-34b,id37,1
01-ai_yi-34b,id38,0
01-ai_yi-34b,id39,1
01-ai_yi-34b,id40,1
01-ai_yi-34b,id41,1
01-ai_yi-34b,id42,0
01-ai_yi-34b,id43,1
01-ai_yi-34b,id44,1
01-ai_yi-34b,id45,1
01-ai_yi-34b,id46,1
01-ai_yi-34b,id47,1
01-ai_yi-34b,id48,1
01-ai_yi-34b,id49,1
01-ai_yi-34b,id50,1
01-ai_yi-34b,id51,1
01-ai_yi-34b,id52,1
01-ai_yi-34b,id53,1
01-ai_yi-34b,id54,1
01-ai_yi-34b,id55,1
01-ai_yi-34b,id56,1
01-ai_yi-34b,id57,1
01-ai_yi-34b,id58,1
01-ai_yi-34b,id59,1
01-ai_yi-34b,id60,0
01-ai_yi-34b,id61,1
01-ai_yi-34b,id62,1
01-ai_yi-34b,id63,1
01-ai_yi-34b,id64,1
01-ai_yi-34b,id65,1
01-ai_yi-34b,id66,1
01-ai_yi-34b,id67,1
01-ai_yi-34b,id68,1
01-ai_yi-34b,id69,0
01-ai_yi-34b,id70,1
01-ai_yi-34b,id71,0
01-ai_yi-34b,id72,1
01-ai_yi-34b,id73,1
01-ai_yi-34b,id74,1
01-ai_yi-34b,id75,1
01-ai_yi-34b,id76,1
01-ai_yi-34b,id77,1
01-ai_yi-34b,id78,0
01-ai_yi-34b,id79,1
01-ai_yi-34b,id80,1
01-ai_yi-34b,id81,1
01-ai_yi-34b,id82,1
01-ai_yi-34b,id83,1
01-ai_yi-34b,id84,1
01-ai_yi-34b,id85,0
01-ai_yi-34b,id86,0
01-ai_yi-34b,id87,1
01-ai_yi-34b,id88,1
01-ai_yi-34b,id89,1
01-ai_yi-34b,id90,1
01-ai_yi-34b,id91,1
01-ai_yi-34b,id92,1
01-ai_yi-34b,id93,1
01-ai_yi-34b,id94,1
01-ai_yi-34b,id95,1
01-ai_yi-34b,id96,1
01-ai_yi-34b,id97,1
01-ai_yi-34b,id98,1
01-ai_yi-34b,id99,1
01-ai_yi-34b,id100,1
01-ai_yi-34b,id101,1
01-ai_yi-34b,id102,1
01-ai_yi-34b,id103,1
01-ai_yi-34b,id104,0
01-ai_yi-34b,id105,1
01-ai_yi-34b,id106,1
01-ai_yi-34b,id107,0
01-ai_yi-34b,id108,1
01-ai_yi-34b,id109,1
01-ai_yi-34b,id110,0
