trial,item,correct
01-ai_yi-large-preview,id5,1
01-ai_yi-large-preview,id6,0
01-ai_yi-large-preview,id7,1
01-ai_yi-large-preview,id8,1
01-ai_yi-large-preview,id9,1
01-ai_yi-large-preview,id10,1
01-ai_yi-large-preview,id11,1
01-ai_yi-large-preview,id12,1
01-ai_yi-large-preview,id13,1
01-ai_yi-large-preview,id14,0
01-ai_yi-large-preview,id15,1
01-ai_yi-large-preview,id16,1
01-ai_yi-large-preview,id17,1
01-ai_yi-large-preview,id18,1
01-ai_yi-large-preview,id19,1
01-ai_yi-large-preview,id20,1
01-ai_yi-large-preview,id21,1
01-ai_yi-large-preview,id22,1
01-ai_yi-large-preview,id23,0
01-ai_yi-large-preview,id24,1
01-ai_yi-large-preview,id25,0
01-ai_yi-large-preview,id26,1
01-ai_yi-large-preview,id27,1
01-ai_yi-large-preview,id28,1
01-ai_yi-large-preview,id29,0
01-ai_yi-large-preview,id30,0
01-ai_yi-large-preview,id31,1
01-ai_yi-large-preview,id32,1
01-ai_yi-large-preview,id33,1
01-ai_yi-large-preview,id34,1
01-ai_yi-large-preview,id35,1
01-ai_yi-large-preview,id36,0
01-ai_yi-large-preview,id37,1
01-ai_yi-large-preview,id38,0
01-ai_yi-large-preview,id39,0
01-ai_yi-large-preview,id40,0
01-ai_yi-large-preview,id41,1
01-ai_yi-large-preview,id42,1
01-ai_yi-large-preview,id43,1
01-ai_yi-large-preview,id44,1
01-ai_yi-large-preview,id45,1
01-ai_yi-large-preview,id46,1
01-ai_yi-large-preview,id47,0
01-ai_yi-large-preview,id48,1
01-ai_yi-large-preview,id49,0
01-ai_yi-large-preview,id50,0
01-ai_yi-large-preview,id51,1
01-ai_yi-large-preview,id52,0
01-ai_yi-large-preview,id53,0
01-ai_yi-large-preview,id54,1
01-ai_yi-large-preview,id55,1
01-ai_yi-large-preview,id56,0
01-ai_yi-large-preview,id57,1
01-ai_yi-large-preview,id58,0
01-ai_yi-large-preview,id59,1
01-ai_yi-large-preview,id60,1
01-ai_yi-large-preview,id61,0
01-ai_yi-large-preview,id62,0
01-ai_yi-large-preview,id63,0
01-ai_yi-large-preview,id64,1
01-ai_yi-large-preview,id65,1
01-ai_yi-large-preview,id66,1
01-ai_yi-large-preview,id67,1
01-ai_yi-large-preview,id68,1
01-ai_yi-large-preview,id69,1
01-ai_yi-large-preview,id70,1
01-ai_yi-large-preview,id71,1
01-ai_yi-large-preview,id72,1
01-ai_yi-large-preview,id73,1
01-ai_yi-large-preview,id74,1
01-ai_yi-large-preview,id75,0
01-ai_yi-large-preview,id76,1
01-ai_yi-large-preview,id77,1
01-ai_yi-large-preview,id78,1
01-ai_yi-large-preview,id79,1
01-ai_yi-large-preview,id80,1
01-ai_yi-large-preview,id81,0
01-ai_yi-large-preview,id82,1
01-ai_yi-large-preview,id83,1
01-ai_yi-large-preview,id84,1
01-ai_yi-large-preview,id85,1
01-ai_yi-large-preview,id86,1
01-ai_yi-large-preview,id87,1
01-ai_yi-large-preview,id88,0
01-ai_yi-large-preview,id89,1
01-ai_yi-large-preview,id90,1
01-ai_yi-large-preview,id91,1
01-ai_yi-large-preview,id92,1
01-ai_yi-large-preview,id93,1
01-ai_yi-large-preview,id94,1
01-ai_yi-large-preview,id95,1
01-ai_yi-large-preview,id96,1
01-ai_yi-large-preview,id97,1
01-ai_yi-large-preview,id98,1
01-ai_yi-large-preview,id99,1
01-ai_yi-large-preview,id100,1
01-ai_yi-large-preview,id101,0
01-ai_yi-large-preview,id102,1
01-ai_yi-large-preview,id103,1
01-ai_yi-large-preview,id104,1
01-ai_yi-large-preview,id105,1
01-ai_yi-large-preview,id106,1
01-ai_yi-large-preview,id107,1
01-ai_yi-large-preview,id108,0
01-ai_yi-large-preview,id109,1
01-ai_yi-large-preview,id110,1
01-ai_yi-large-preview,id111,1
01-ai_yi-large-preview,id112,1
01-ai_yi-large-preview,id113,0
01-ai_yi-large-preview,id114,1
01-ai_yi-large-preview,id115,0
01-ai_yi-large-preview,id116,1
01-ai_yi-large-preview,id117,1
01-ai_yi-large-preview,id118,1
01-ai_yi-large-preview,id119,0
01-ai_yi-large-preview,id120,0
01-ai_yi-large-preview,id121,1
01-ai_yi-large-preview,id122,0
01-ai_yi-large-preview,id123,1
01-ai_yi-large-preview,id124,1
01-ai_yi-large-preview,id125,1
01-ai_yi-large-preview,id126,0
01-ai_yi-large-preview,id127,0
01-ai_yi-large-preview,id128,0
01-ai_yi-large-preview,id129,1
01-ai_yi-large-preview,id130,1
amazon_nova-pro-v1:0,id5,1
amazon_nova-pro-v1:0,id6,1
amazon_nova-pro-v1:0,id7,1
amazon_nova-pro-v1:0,id8,0
amazon_nova-pro-v1:0,id9,1
amazon_nova-pro-v1:0,id10,1
amazon_nova-pro-v1:0,id11,1
amazon_nova-pro-v1:0,id12,1
amazon_nova-pro-v1:0,id13,1
amazon_nova-pro-v1:0,id14,1
amazon_nova-pro-v1:0,id15,1
amazon_nova-pro-v1:0,id16,1
amazon_nova-pro-v1:0,id17,1
amazon_nova-pro-v1:0,id18,1
amazon_nova-pro-v1:0,id19,1
amazon_nova-pro-v1:0,id20,1
amazon_nova-pro-v1:0,id21,1
amazon_nova-pro-v1:0,id22,1
amazon_nova-pro-v1:0,id23,0
amazon_nova-pro-v1:0,id24,0
amazon_nova-pro-v1:0,id25,0
amazon_nova-pro-v1:0,id26,0
amazon_nova-pro-v1:0,id27,1
amazon_nova-pro-v1:0,id28,1
amazon_nova-pro-v1:0,id29,1
amazon_nova-pro-v1:0,id30,0
amazon_nova-pro-v1:0,id31,1
amazon_nova-pro-v1:0,id32,1
amazon_nova-pro-v1:0,id33,0
amazon_nova-pro-v1:0,id34,1
amazon_nova-pro-v1:0,id35,1
amazon_nova-pro-v1:0,id36,0
amazon_nova-pro-v1:0,id37,1
amazon_nova-pro-v1:0,id38,1
amazon_nova-pro-v1:0,id39,0
amazon_nova-pro-v1:0,id40,0
amazon_nova-pro-v1:0,id41,1
amazon_nova-pro-v1:0,id42,1
amazon_nova-pro-v1:0,id43,1
amazon_nova-pro-v1:0,id44,1
