trial,item,correct
amazon_nova-pro-v1:0,id10179,1
amazon_nova-pro-v1:0,id10182,1
amazon_nova-pro-v1:0,id10183,1
amazon_nova-pro-v1:0,id10184,0
amazon_nova-pro-v1:0,id10187,1
amazon_nova-pro-v1:0,id10188,1
amazon_nova-pro-v1:0,id10189,1
amazon_nova-pro-v1:0,id10192,0
amazon_nova-pro-v1:0,id10193,1
amazon_nova-pro-v1:0,id10195,0
amazon_nova-pro-v1:0,id10196,0
amazon_nova-pro-v1:0,id10200,0
amazon_nova-pro-v1:0,id10201,1
amazon_nova-pro-v1:0,id10205,1
amazon_nova-pro-v1:0,id10208,1
amazon_nova-pro-v1:0,id10209,1
amazon_nova-pro-v1:0,id10211,1
amazon_nova-pro-v1:0,id10212,1
amazon_nova-pro-v1:0,id10214,1
amazon_nova-pro-v1:0,id10215,1
amazon_nova-pro-v1:0,id10217,1
amazon_nova-pro-v1:0,id10218,1
amazon_nova-pro-v1:0,id10219,1
amazon_nova-pro-v1:0,id10220,1
amazon_nova-pro-v1:0,id10221,1
amazon_nova-pro-v1:0,id10225,1
amazon_nova-pro-v1:0,id10226,0
amazon_nova-pro-v1:0,id10230,1
amazon_nova-pro-v1:0,id10231,0
amazon_nova-pro-v1:0,id10233,1
amazon_nova-pro-v1:0,id10235,1
amazon_nova-pro-v1:0,id10236,1
amazon_nova-pro-v1:0,id10239,1
amazon_nova-pro-v1:0,id10242,1
amazon_nova-pro-v1:0,id10247,0
amazon_nova-pro-v1:0,id10248,0
amazon_nova-pro-v1:0,id10250,1
amazon_nova-pro-v1:0,id10254,1
amazon_nova-pro-v1:0,id10255,1
amazon_nova-pro-v1:0,id10258,1
amazon_nova-pro-v1:0,id10263,1
amazon_nova-pro-v1:0,id10265,0
amazon_nova-pro-v1:0,id10270,1
amazon_nova-pro-v1:0,id10276,0
amazon_nova-pro-v1:0,id10282,1
amazon_nova-pro-v1:0,id10284,1
amazon_nova-pro-v1:0,id10285,1
amazon_nova-pro-v1:0,id10291,1
amazon_nova-pro-v1:0,id10295,1
amazon_nova-pro-v1:0,id10296,1
amazon_nova-pro-v1:0,id10299,1
amazon_nova-pro-v1:0,id10302,1
amazon_nova-pro-v1:0,id10303,0
amazon_nova-pro-v1:0,id10310,1
amazon_nova-pro-v1:0,id10311,1
amazon_nova-pro-v1:0,id10313,0
amazon_nova-pro-v1:0,id10315,1
amazon_nova-pro-v1:0,id10317,1
amazon_nova-pro-v1:0,id10319,0
amazon_nova-pro-v1:0,id10320,1
amazon_nova-pro-v1:0,id10322,1
amazon_nova-pro-v1:0,id10323,0
amazon_nova-pro-v1:0,id10326,1
amazon_nova-pro-v1:0,id10327,1
amazon_nova-pro-v1:0,id10330,1
amazon_nova-pro-v1:0,id10334,1
amazon_nova-pro-v1:0,id10335,0
amazon_nova-pro-v1:0,id10339,1
amazon_nova-pro-v1:0,id10340,0
amazon_nova-pro-v1:0,id10347,1
amazon_nova-pro-v1:0,id10351,1
amazon_nova-pro-v1:0,id10353,1
amazon_nova-pro-v1:0,id10360,1
amazon_nova-pro-v1:0,id10365,0
amazon_nova-pro-v1:0,id10367,1
amazon_nova-pro-v1:0,id10369,1
amazon_nova-pro-v1:0,id10370,1
amazon_nova-pro-v1:0,id10372,1
amazon_nova-pro-v1:0,id10373,1
amazon_nova-pro-v1:0,id10374,1
amazon_nova-pro-v1:0,id10378,1
amazon_nova-pro-v1:0,id10380,0
amazon_nova-pro-v1:0,id10382,1
amazon_nova-pro-v1:0,id10384,0
amazon_nova-pro-v1:0,id10393,1
amazon_nova-pro-v1:0,id10398,1
amazon_nova-pro-v1:0,id10401,1
amazon_nova-pro-v1:0,id10402,1
amazon_nova-pro-v1:0,id10405,1
amazon_nova-pro-v1:0,id10407,1
amazon_nova-pro-v1:0,id10410,1
amazon_nova-pro-v1:0,id10411,1
amazon_nova-pro-v1:0,id10412,1
amazon_nova-pro-v1:0,id10418,1
amazon_nova-pro-v1:0,id10423,0
amazon_nova-pro-v1:0,id10426,1
amazon_nova-pro-v1:0,id10427,1
amazon_nova-pro-v1:0,id10428,1
amazon_nova-pro-v1:0,id10429,1
amazon_nova-pro-v1:0,id10430,1
amazon_nova-pro-v1:0,id10431,1
amazon_nova-pro-v1:0,id10432,0
amazon_nova-pro-v1:0,id10437,0
amazon_nova-pro-v1:0,id10438,1
amazon_nova-pro-v1:0,id10440,0
amazon_nova-pro-v1:0,id10442,1
amazon_nova-pro-v1:0,id10445,1
amazon_nova-pro-v1:0,id10448,0
amazon_nova-pro-v1:0,id10449,0
amazon_nova-pro-v1:0,id10454,1
amazon_nova-pro-v1:0,id10457,1
amazon_nova-pro-v1:0,id10461,0
amazon_nova-pro-v1:0,id10464,1
amazon_nova-pro-v1:0,id10465,1
amazon_nova-pro-v1:0,id10467,1
