trial,item,correct
01-ai_yi-34b,id10179,1
01-ai_yi-34b,id10182,0
01-ai_yi-34b,id10183,1
01-ai_yi-34b,id10184,0
01-ai_yi-34b,id10187,1
01-ai_yi-34b,id10188,1
01-ai_yi-34b,id10189,1
01-ai_yi-34b,id10192,0
01-ai_yi-34b,id10193,1
01-ai_yi-34b,id10195,0
01-ai_yi-34b,id10196,0
01-ai_yi-34b,id10200,1
01-ai_yi-34b,id10201,1
01-ai_yi-34b,id10205,0
01-ai_yi-34b,id10208,1
01-ai_yi-34b,id10209,1
01-ai_yi-34b,id10211,1
01-ai_yi-34b,id10212,1
01-ai_yi-34b,id10214,1
01-ai_yi-34b,id10215,0
01-ai_yi-34b,id10217,1
01-ai_yi-34b,id10218,1
01-ai_yi-34b,id10219,0
01-ai_yi-34b,id10220,1
01-ai_yi-34b,id10221,1
01-ai_yi-34b,id10225,1
01-ai_yi-34b,id10226,0
01-ai_yi-34b,id10230,1
01-ai_yi-34b,id10231,0
01-ai_yi-34b,id10233,1
01-ai_yi-34b,id10235,1
01-ai_yi-34b,id10236,1
01-ai_yi-34b,id10239,1
01-ai_yi-34b,id10242,1
01-ai_yi-34b,id10247,0
01-ai_yi-34b,id10248,1
01-ai_yi-34b,id10250,1
01-ai_yi-34b,id10254,1
01-ai_yi-34b,id10255,1
01-ai_yi-34b,id10258,0
01-ai_yi-34b,id10263,1
01-ai_yi-34b,id10265,0
01-ai_yi-34b,id10270,1
01-ai_yi-34b,id10276,0
01-ai_yi-34b,id10282,1
01-ai_yi-34b,id10284,1
01-ai_yi-34b,id10285,0
01-ai_yi-34b,id10291,1
01-ai_yi-34b,id10295,1
01-ai_yi-34b,id10296,1
01-ai_yi-34b,id10299,0
01-ai_yi-34b,id10302,1
01-ai_yi-34b,id10303,1
01-ai_yi-34b,id10310,1
01-ai_yi-34b,id10311,1
01-ai_yi-34b,id10313,0
01-ai_yi-34b,id10315,1
01-ai_yi-34b,id10317,1
01-ai_yi-34b,id10319,0
01-ai_yi-34b,id10320,0
01-ai_yi-34b,id10322,1
01-ai_yi-34b,id10323,0
01-ai_yi-34b,id10326,1
01-ai_yi-34b,id10327,1
01-ai_yi-34b,id10330,1
01-ai_yi-34b,id10334,1
01-ai_yi-34b,id10335,1
01-ai_yi-34b,id10339,0
01-ai_yi-34b,id10340,0
01-ai_yi-34b,id10347,1
01-ai_yi-34b,id10351,1
01-ai_yi-34b,id10353,1
01-ai_yi-34b,id10360,0
01-ai_yi-34b,id10365,0
01-ai_yi-34b,id10367,1
01-ai_yi-34b,id10369,1
01-ai_yi-34b,id10370,1
01-ai_yi-34b,id10372,1
01-ai_yi-34b,id10373,1
01-ai_yi-34b,id10374,1
01-ai_yi-34b,id10378,1
01-ai_yi-34b,id10380,1
01-ai_yi-34b,id10382,1
01-ai_yi-34b,id10384,1
01-ai_yi-34b,id10393,0
01-ai_yi-34b,id10398,1
01-ai_yi-34b,id10401,1
01-ai_yi-34b,id10402,1
01-ai_yi-34b,id10405,1
01-ai_yi-34b,id10407,1
01-ai_yi-34b,id10410,0
01-ai_yi-34b,id10411,1
01-ai_yi-34b,id10412,1
01-ai_yi-34b,id10418,1
01-ai_yi-34b,id10423,1
01-ai_yi-34b,id10426,1
01-ai_yi-34b,id10427,1
01-ai_yi-34b,id10428,1
01-ai_yi-34b,id10429,1
01-ai_yi-34b,id10430,1
01-ai_yi-34b,id10431,1
01-ai_yi-34b,id10432,0
01-ai_yi-34b,id10437,0
01-ai_yi-34b,id10438,1
01-ai_yi-34b,id10440,0
01-ai_yi-34b,id10442,0
01-ai_yi-34b,id10445,1
01-ai_yi-34b,id10448,1
01-ai_yi-34b,id10449,0
01-ai_yi-34b,id10454,1
01-ai_yi-34b,id10457,1
01-ai_yi-34b,id10461,1
01-ai_yi-34b,id10464,0
01-ai_yi-34b,id10465,1
01-ai_yi-34b,id10467,0
01-ai_yi-34b,id10472,0
01-ai_yi-34b,id10473,0
01-ai_yi-34b,id10474,1
01-ai_yi-34b,id10476,1
01-ai_yi-34b,id10477,1
01-ai_yi-34b,id10478,1
01-ai_yi-34b,id10480,1
01-ai_yi-34b,id10481,1
01-ai_yi-34b,id10483,0
01-ai_yi-34b,id10487,1
01-ai_yi-34b,id10488,1
01-ai_yi-34b,id10492,1
01-ai_yi-34b,id10495,1
01-ai_yi-34b,id10498,1
01-ai_yi-34b,id10500,1
01-ai_yi-34b,id10504,0
01-ai_yi-34b,id10508,0
01-ai_yi-34b,id10511,0
01-ai_yi-34b,id10520,0
01-ai_yi-34b,id10529,1
01-ai_yi-34b,id10531,1
01-ai_yi-34b,id10535,1
01-ai_yi-34b,id10537,0
01-ai_yi-34b,id10538,1
01-ai_yi-34b,id10539,1
01-ai_yi-34b,id10547,0
01-ai_yi-34b,id10554,0
01-ai_yi-34b,id10557,0
01-ai_yi-34b,id10559,0
01-ai_yi-34b,id10562,0
01-ai_yi-34b,id10563,0
01-ai_yi-34b,id10564,0
01-ai_yi-34b,id10568,1
01-ai_yi-34b,id10569,0
01-ai_yi-34b,id10570,0
01-ai_yi-34b,id10571,0
01-ai_yi-34b,id10576,1
01-ai_yi-34b,id10577,1
01-ai_yi-34b,id10580,1
01-ai_yi-34b,id10583,1
01-ai_yi-34b,id10589,0
01-ai_yi-34b,id10592,1
01-ai_yi-34b,id10593,1
01-ai_yi-34b,id10596,0
01-ai_yi-34b,id10600,0
01-ai_yi-34b,id10603,1
01-ai_yi-34b,id10605,1
01-ai_yi-34b,id10614,1
01-ai_yi-34b,id10616,0
01-ai_yi-34b,id10618,1
01-ai_yi-34b,id10620,1
01-ai_yi-34b,id10621,1
01-ai_yi-34b,id10622,1
01-ai_yi-34b,id10624,1
01-ai_yi-34b,id10630,0
01-ai_yi-34b,id10631,0
01-ai_yi-34b,id10632,0
01-ai_yi-34b,id10635,0
01-ai_yi-34b,id10636,0
01-ai_yi-34b,id10637,1
01-ai_yi-34b,id10639,1
01-ai_yi-34b,id10643,1
01-ai_yi-34b,id10652,1
01-ai_yi-34b,id10653,1
01-ai_yi-34b,id10655,0
01-ai_yi-34b,id10656,0
01-ai_yi-34b,id10658,0
01-ai_yi-34b,id10660,1
01-ai_yi-34b,id10661,1
01-ai_yi-34b,id10663,1
01-ai_yi-34b,id10664,1
01-ai_yi-34b,id10665,1
01-ai_yi-34b,id10666,0
01-ai_yi-34b,id10667,1
01-ai_yi-34b,id10669,1
01-ai_yi-34b,id10679,1
01-ai_yi-34b,id10680,0
01-ai_yi-34b,id10681,1
01-ai_yi-34b,id10683,1
01-ai_yi-34b,id10684,1
01-ai_yi-34b,id10689,1
01-ai_yi-34b,id10690,1
01-ai_yi-34b,id10694,1
01-ai_yi-34b,id10695,1
01-ai_yi-34b,id10696,1
01-ai_yi-34b,id10697,0
01-ai_yi-34b,id10699,0
01-ai_yi-34b,id10704,1
01-ai_yi-34b,id10705,1
01-ai_yi-34b,id10707,0
01-ai_yi-34b,id10708,0
01-ai_yi-34b,id10710,0
01-ai_yi-34b,id10713,1
01-ai_yi-34b,id10714,1
01-ai_yi-34b,id10721,1
01-ai_yi-34b,id10724,1
01-ai_yi-34b,id10725,1
01-ai_yi-34b,id10731,0
01-ai_yi-34b,id10735,1
01-ai_yi-34b,id10736,1
01-ai_yi-34b,id10740,1
01-ai_yi-34b,id10741,1
01-ai_yi-34b,id10742,1
01-ai_yi-34b,id10743,0
01-ai_yi-34b,id10745,1
01-ai_yi-34b,id10746,0
01-ai_yi-34b,id10747,1
01-ai_yi-34b,id10748,1
01-ai_yi-34b,id10750,0
01-ai_yi-34b,id10752,1
01-ai_yi-34b,id10753,0
01-ai_yi-34b,id10756,0
01-ai_yi-34b,id10757,0
01-ai_yi-34b,id10759,1
01-ai_yi-34b,id10760,0
01-ai_yi-34b,id10765,0
